start_time,end_time,start_time_iso,end_time_iso,input_tokens,output_tokens,num_model_requests,project_id,user_id,api_key_id,model,batch,service_tier,input_cached_tokens,input_uncached_tokens,input_audio_tokens,output_audio_tokens
1738368000,1738454400,2025-02-01T00:00:00+00:00,2025-02-02T00:00:00+00:00,,,,,,,,,,,,,
1738454400,1738540800,2025-02-02T00:00:00+00:00,2025-02-03T00:00:00+00:00,,,,,,,,,,,,,
1738540800,1738627200,2025-02-03T00:00:00+00:00,2025-02-04T00:00:00+00:00,6383.0,3299.0,23.0,proj_EEBJXAb4eEmZvcjogdu3AP0B,user-lhSeY1GZnOOea3rhkPk6QlSz,key_SiQ4xMf34gLu1U1p,gpt-4o-mini-2024-07-18,,default,0.0,6383.0,0.0,0.0
1738540800,1738627200,2025-02-03T00:00:00+00:00,2025-02-04T00:00:00+00:00,9138936.0,452623.0,8827.0,proj_EEBJXAb4eEmZvcjogdu3AP0B,user-lhSeY1GZnOOea3rhkPk6QlSz,key_SiQ4xMf34gLu1U1p,gpt-4o-2024-08-06,,default,0.0,9138936.0,0.0,0.0
1738627200,1738713600,2025-02-04T00:00:00+00:00,2025-02-05T00:00:00+00:00,23108953.0,1106711.0,21728.0,proj_EEBJXAb4eEmZvcjogdu3AP0B,user-lhSeY1GZnOOea3rhkPk6QlSz,key_SiQ4xMf34gLu1U1p,gpt-4o-2024-08-06,,default,1024.0,23107929.0,0.0,0.0
1738627200,1738713600,2025-02-04T00:00:00+00:00,2025-02-05T00:00:00+00:00,13518.0,9372.0,14.0,proj_EEBJXAb4eEmZvcjogdu3AP0B,user-lhSeY1GZnOOea3rhkPk6QlSz,key_SiQ4xMf34gLu1U1p,o3-mini-2025-01-31,,default,0.0,13518.0,0.0,0.0
1738627200,1738713600,2025-02-04T00:00:00+00:00,2025-02-05T00:00:00+00:00,1822.0,1409.0,9.0,proj_EEBJXAb4eEmZvcjogdu3AP0B,user-lhSeY1GZnOOea3rhkPk6QlSz,key_SiQ4xMf34gLu1U1p,gpt-4o-mini-2024-07-18,,default,0.0,1822.0,0.0,0.0
1738713600,1738800000,2025-02-05T00:00:00+00:00,2025-02-06T00:00:00+00:00,7506646.0,388173.0,7240.0,proj_EEBJXAb4eEmZvcjogdu3AP0B,user-lhSeY1GZnOOea3rhkPk6QlSz,key_SiQ4xMf34gLu1U1p,gpt-4o-2024-08-06,,default,0.0,7506646.0,0.0,0.0
1738800000,1738886400,2025-02-06T00:00:00+00:00,2025-02-07T00:00:00+00:00,18375198.0,976216.0,17755.0,proj_EEBJXAb4eEmZvcjogdu3AP0B,user-lhSeY1GZnOOea3rhkPk6QlSz,key_SiQ4xMf34gLu1U1p,gpt-4o-2024-08-06,,default,1664.0,18373534.0,0.0,0.0
1738800000,1738886400,2025-02-06T00:00:00+00:00,2025-02-07T00:00:00+00:00,61.0,65.0,1.0,proj_EEBJXAb4eEmZvcjogdu3AP0B,user-lhSeY1GZnOOea3rhkPk6QlSz,key_SiQ4xMf34gLu1U1p,gpt-4o-mini-2024-07-18,,default,0.0,61.0,0.0,0.0
1738886400,1738972800,2025-02-07T00:00:00+00:00,2025-02-08T00:00:00+00:00,19268.0,663.0,17.0,proj_EEBJXAb4eEmZvcjogdu3AP0B,user-lhSeY1GZnOOea3rhkPk6QlSz,key_SiQ4xMf34gLu1U1p,gpt-4o-2024-08-06,,default,4608.0,14660.0,0.0,0.0
1738886400,1738972800,2025-02-07T00:00:00+00:00,2025-02-08T00:00:00+00:00,487.0,175.0,4.0,proj_EEBJXAb4eEmZvcjogdu3AP0B,user-lhSeY1GZnOOea3rhkPk6QlSz,key_SiQ4xMf34gLu1U1p,gpt-4o-mini-2024-07-18,,default,0.0,487.0,0.0,0.0
1738972800,1739059200,2025-02-08T00:00:00+00:00,2025-02-09T00:00:00+00:00,,,,,,,,,,,,,
1739059200,1739145600,2025-02-09T00:00:00+00:00,2025-02-10T00:00:00+00:00,,,,,,,,,,,,,
1739145600,1739232000,2025-02-10T00:00:00+00:00,2025-02-11T00:00:00+00:00,4671.0,293.0,7.0,proj_EEBJXAb4eEmZvcjogdu3AP0B,user-lhSeY1GZnOOea3rhkPk6QlSz,key_SiQ4xMf34gLu1U1p,gpt-4o-2024-08-06,,default,0.0,4671.0,0.0,0.0
1739232000,1739318400,2025-02-11T00:00:00+00:00,2025-02-12T00:00:00+00:00,225.0,264.0,1.0,proj_EEBJXAb4eEmZvcjogdu3AP0B,user-lhSeY1GZnOOea3rhkPk6QlSz,,gpt-4o-mini-2024-07-18,,default,0.0,225.0,0.0,0.0
1739232000,1739318400,2025-02-11T00:00:00+00:00,2025-02-12T00:00:00+00:00,30003.0,1472.0,29.0,proj_EEBJXAb4eEmZvcjogdu3AP0B,user-lhSeY1GZnOOea3rhkPk6QlSz,,gpt-4o-2024-08-06,,default,0.0,30003.0,0.0,0.0
1739232000,1739318400,2025-02-11T00:00:00+00:00,2025-02-12T00:00:00+00:00,10357.0,482.0,10.0,proj_EEBJXAb4eEmZvcjogdu3AP0B,user-lhSeY1GZnOOea3rhkPk6QlSz,key_SiQ4xMf34gLu1U1p,gpt-4o-2024-08-06,,default,0.0,10357.0,0.0,0.0
1739318400,1739404800,2025-02-12T00:00:00+00:00,2025-02-13T00:00:00+00:00,1244.0,102.0,2.0,proj_EEBJXAb4eEmZvcjogdu3AP0B,user-lhSeY1GZnOOea3rhkPk6QlSz,key_SiQ4xMf34gLu1U1p,gpt-4o-2024-08-06,,default,0.0,1244.0,0.0,0.0
1739318400,1739404800,2025-02-12T00:00:00+00:00,2025-02-13T00:00:00+00:00,9315.0,468.0,9.0,proj_EEBJXAb4eEmZvcjogdu3AP0B,user-lhSeY1GZnOOea3rhkPk6QlSz,,gpt-4o-2024-08-06,,default,0.0,9315.0,0.0,0.0
1739404800,1739491200,2025-02-13T00:00:00+00:00,2025-02-14T00:00:00+00:00,57.0,82.0,1.0,proj_EEBJXAb4eEmZvcjogdu3AP0B,user-lhSeY1GZnOOea3rhkPk6QlSz,key_SiQ4xMf34gLu1U1p,gpt-4o-mini-2024-07-18,,default,0.0,57.0,0.0,0.0
1739404800,1739491200,2025-02-13T00:00:00+00:00,2025-02-14T00:00:00+00:00,14510.0,551.0,14.0,proj_EEBJXAb4eEmZvcjogdu3AP0B,user-lhSeY1GZnOOea3rhkPk6QlSz,key_SiQ4xMf34gLu1U1p,gpt-4o-2024-08-06,,default,0.0,14510.0,0.0,0.0
1739491200,1739577600,2025-02-14T00:00:00+00:00,2025-02-15T00:00:00+00:00,519.0,413.0,3.0,proj_EEBJXAb4eEmZvcjogdu3AP0B,user-lhSeY1GZnOOea3rhkPk6QlSz,key_SiQ4xMf34gLu1U1p,gpt-4o-mini-2024-07-18,,default,0.0,519.0,0.0,0.0
1739491200,1739577600,2025-02-14T00:00:00+00:00,2025-02-15T00:00:00+00:00,11920.0,589.0,12.0,proj_EEBJXAb4eEmZvcjogdu3AP0B,user-lhSeY1GZnOOea3rhkPk6QlSz,key_SiQ4xMf34gLu1U1p,gpt-4o-2024-08-06,,default,0.0,11920.0,0.0,0.0
1739577600,1739664000,2025-02-15T00:00:00+00:00,2025-02-16T00:00:00+00:00,,,,,,,,,,,,,
1739664000,1739750400,2025-02-16T00:00:00+00:00,2025-02-17T00:00:00+00:00,,,,,,,,,,,,,
1739750400,1739836800,2025-02-17T00:00:00+00:00,2025-02-18T00:00:00+00:00,,,,,,,,,,,,,
1739836800,1739923200,2025-02-18T00:00:00+00:00,2025-02-19T00:00:00+00:00,39855.0,2064.0,48.0,proj_EEBJXAb4eEmZvcjogdu3AP0B,user-lhSeY1GZnOOea3rhkPk6QlSz,key_SiQ4xMf34gLu1U1p,gpt-4o-2024-08-06,,default,0.0,39855.0,0.0,0.0
1739836800,1739923200,2025-02-18T00:00:00+00:00,2025-02-19T00:00:00+00:00,168.0,54.0,1.0,proj_EEBJXAb4eEmZvcjogdu3AP0B,user-lhSeY1GZnOOea3rhkPk6QlSz,key_SiQ4xMf34gLu1U1p,gpt-4o-mini-2024-07-18,,default,0.0,168.0,0.0,0.0
1739923200,1740009600,2025-02-19T00:00:00+00:00,2025-02-20T00:00:00+00:00,179941.0,4800.0,149.0,proj_EEBJXAb4eEmZvcjogdu3AP0B,user-lhSeY1GZnOOea3rhkPk6QlSz,key_SiQ4xMf34gLu1U1p,gpt-4o-2024-08-06,,default,105600.0,74341.0,0.0,0.0
