start_time,end_time,start_time_iso,end_time_iso,input_tokens,output_tokens,num_model_requests,project_id_x,user_id,api_key_id,model,batch,service_tier,input_cached_tokens,input_uncached_tokens,input_audio_tokens,output_audio_tokens,amount_value,amount_currency,line_item,project_id_y,organization_id,organization_name
1735689600,1735776000,2025-01-01T00:00:00+00:00,2025-01-02T00:00:00+00:00,,,,,,,,,,,,,,,,,,,
1735776000,1735862400,2025-01-02T00:00:00+00:00,2025-01-03T00:00:00+00:00,33983.0,1559.0,37.0,proj_EEBJXAb4eEmZvcjogdu3AP0B,user-lhSeY1GZnOOea3rhkPk6QlSz,key_SiQ4xMf34gLu1U1p,gpt-4o-2024-08-06,,default,0.0,33983.0,0.0,0.0,0.1005474999999999,usd,,,org-fAPezn4awKhGvfQWsFfmrUPG,NJT
1735862400,1735948800,2025-01-03T00:00:00+00:00,2025-01-04T00:00:00+00:00,,,,,,,,,,,,,,,,,,,
1735948800,1736035200,2025-01-04T00:00:00+00:00,2025-01-05T00:00:00+00:00,,,,,,,,,,,,,,,,,,,
1736035200,1736121600,2025-01-05T00:00:00+00:00,2025-01-06T00:00:00+00:00,,,,,,,,,,,,,,,,,,,
1736121600,1736208000,2025-01-06T00:00:00+00:00,2025-01-07T00:00:00+00:00,165428.0,12093.0,184.0,proj_EEBJXAb4eEmZvcjogdu3AP0B,user-lhSeY1GZnOOea3rhkPk6QlSz,key_SiQ4xMf34gLu1U1p,gpt-4o-2024-08-06,,default,0.0,165428.0,0.0,0.0,0.5345,usd,,,org-fAPezn4awKhGvfQWsFfmrUPG,NJT
1736208000,1736294400,2025-01-07T00:00:00+00:00,2025-01-08T00:00:00+00:00,36484.0,9556.0,122.0,proj_EEBJXAb4eEmZvcjogdu3AP0B,user-lhSeY1GZnOOea3rhkPk6QlSz,key_SiQ4xMf34gLu1U1p,gpt-4o-mini-2024-07-18,,default,0.0,36484.0,0.0,0.0,2.1663662,usd,,,org-fAPezn4awKhGvfQWsFfmrUPG,NJT
1736208000,1736294400,2025-01-07T00:00:00+00:00,2025-01-08T00:00:00+00:00,724988.0,34413.0,735.0,proj_EEBJXAb4eEmZvcjogdu3AP0B,user-lhSeY1GZnOOea3rhkPk6QlSz,key_SiQ4xMf34gLu1U1p,gpt-4o-2024-08-06,,default,1152.0,723836.0,0.0,0.0,2.1663662,usd,,,org-fAPezn4awKhGvfQWsFfmrUPG,NJT
1736294400,1736380800,2025-01-08T00:00:00+00:00,2025-01-09T00:00:00+00:00,7362.0,8006.0,97.0,proj_EEBJXAb4eEmZvcjogdu3AP0B,user-lhSeY1GZnOOea3rhkPk6QlSz,key_SiQ4xMf34gLu1U1p,gpt-4o-mini-2024-07-18,,default,0.0,7362.0,0.0,0.0,0.9770604,usd,,,org-fAPezn4awKhGvfQWsFfmrUPG,NJT
1736294400,1736380800,2025-01-08T00:00:00+00:00,2025-01-09T00:00:00+00:00,337317.0,12786.0,316.0,proj_EEBJXAb4eEmZvcjogdu3AP0B,user-lhSeY1GZnOOea3rhkPk6QlSz,key_SiQ4xMf34gLu1U1p,gpt-4o-2024-08-06,,default,0.0,337317.0,0.0,0.0,0.9770604,usd,,,org-fAPezn4awKhGvfQWsFfmrUPG,NJT
